Record ID,Shipment ID,Shipdate,Vendor ID,O_COUNTRY,ORIG,ORIG_ZIP,D_COUNTRY,DEST,DEST_ZIP,Equipment Type,Cost,Weight,Mileage
1,EXP7043,2/22/2020,1,MX,DG DURANGO,34000,MX,TM NUEVO LAREDO,88060,FB,1528,14500,496
2,EXP7044,2/22/2020,1,MX,DG DURANGO,34000,MX,TM NUEVO LAREDO,88060,SD,2112,67450,496
3,EXP7047,2/24/2020,1,MX,DG DURANGO,34000,MX,TM NUEVO LAREDO,88060,FB,1506,37450,496
4,EXP7048,2/8/2020,1,MX,DG DURANGO,34000,MX,TM NUEVO LAREDO,88060,DV,2113,22950,496
5,OUT19627,1/5/2020,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,196,0,508
6,OUT19629,1/6/2020,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
7,OUT19646,1/8/2020,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,777,13132,164
8,EXP7042,2/21/2020,1,MX,DURANGO,34000,MX,NUEVO LAREDO,88060,FB,0,0,0
9,EXP7050,2/17/2020,1,MX,DG DURANGO,34000,MX,TM NUEVO LAREDO,88060,DV,2112,39700,496
10,OUT19630,1/6/2020,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
11,OUT19643,1/7/2020,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,534,35620,508
12,EXP7043,2/22/2020,1,MX,DURANGO,34000,MX,NUEVO LAREDO,88060,FB,0,0,0
13,EXP7046,2/23/2020,1,MX,DG DURANGO,34000,MX,TM NUEVO LAREDO,88060,SD,2112,32450,496
14,EXP7047,2/24/2020,1,MX,DURANGO,34000,MX,NUEVO LAREDO,88060,FB,0,0,0
15,21722,11/4/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,11937,164
16,21728,11/4/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,12519,164
17,21777,11/11/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,8078,164
18,21800,11/18/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,17303,164
19,21826,11/9/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,FB,255,0,14
20,21852,11/26/2019,3,US,TX LAREDO,78040,US,IL ADDISON,60101,FB,4036,13481,1355
21,21862,11/20/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,FB,255,0,14
22,ILSC5412,1/30/2020,4,MX,NL CIENEGA DE FLORES,65550,MX,NL APODACA,66600,DV,96,1,17
23,21720,11/4/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,16634,164
24,21770,11/11/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,8977,164
25,21790,11/1/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,FB,255,0,14
26,21821,11/7/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,FB,255,0,14
27,21831,11/4/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,FB,255,0,14
28,21839,11/25/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,12044,164
29,21841,11/25/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,9074,164
30,21856,11/15/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,FB,255,0,14
31,21860,11/20/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,FB,255,0,14
32,4234909,1/20/2020,5,US,TX LAREDO,78040,US,OH AKRON,44310,FB,3406,13404,1604
33,21725,11/4/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,10344,164
34,21726,11/4/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,16643,164
35,21772,11/11/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,13878,164
36,21776,11/12/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,29096,164
37,21863,11/9/2019,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,DV,196,0,14
38,ILSC5411,1/30/2020,4,MX,NL CIENEGA DE FLORES,65550,MX,NL APODACA,66600,DV,96,1,17
39,ILSC5414,1/31/2020,4,MX,NL GUADALUPE,67100,MX,NL APODACA,66600,DV,93,1,202
40,21732,11/4/2019,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,878,8591,164
41,21789,11/1/2019,3,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88000,DV,196,0,14
42,2184721,11/14/2019,6,US,TX SAN ANTONIO,78263,US,SC CHARLESTON,29405,DV,3979,2600,1295
43,22678,5/27/2020,3,US,TX SAN ANTONIO,78220,US,TX LAREDO,78045,DV,856,1,159
